# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  100       3.626206980286e-10       1.040415411085e-13      -3.113031471606e-12       0.000000000000e+00       1.017312442621e-11       1.400402844094e-12      -7.199227734443e-15 
  101       3.668254781212e-10       1.060252839546e-13      -3.202204342934e-12       0.000000000000e+00       9.910706139956e-12       1.371532259148e-12      -7.129209609481e-15 
  102       3.710568606164e-10       1.079879675633e-13      -3.291419508043e-12       0.000000000000e+00       9.656896971592e-12       1.343505891441e-12      -7.061889284971e-15 
  103       3.753146200421e-10       1.099277095814e-13      -3.380608452683e-12       0.000000000000e+00       9.411577564772e-12       1.316316725692e-12      -6.996953914100e-15 
  104       3.795983925846e-10       1.118426154279e-13      -3.469701743288e-12       0.000000000000e+00       9.174554546485e-12       1.289950113258e-12      -6.934042630729e-15 
  105       3.839076706907e-10       1.137307790383e-13      -3.558629049903e-12       0.000000000000e+00       8.945558060135e-12       1.264383511228e-12      -6.872745127439e-15 
  106       3.882417976693e-10       1.155902836088e-13      -3.647319169117e-12       0.000000000000e+00       8.724239298636e-12       1.239586221508e-12      -6.812600233587e-15 
  107       3.925999622926e-10       1.174192023409e-13      -3.735700046990e-12       0.000000000000e+00       8.510168037491e-12       1.215519129915e-12      -6.753094493356e-15 
  108       3.969811933982e-10       1.192155991854e-13      -3.823698801985e-12       0.000000000000e+00       8.302830167886e-12       1.192134445270e-12      -6.693660743807e-15 
  109       4.013843544907e-10       1.209775295874e-13      -3.911241747895e-12       0.000000000000e+00       8.101625229770e-12       1.169375438481e-12      -6.633676692930e-15 
  110       4.058083350297e-10       1.227030894622e-13      -3.998254923408e-12       0.000000000000e+00       7.906001783466e-12       1.147189554197e-12      -6.572591390435e-15 
  111       4.102526637004e-10       1.243905676531e-13      -4.084665708634e-12       0.000000000000e+00       7.715888507549e-12       1.125570212662e-12      -6.510326086580e-15 
  112       4.147169638908e-10       1.260383144687e-13      -4.170401459330e-12       0.000000000000e+00       7.531313912155e-12       1.104519894205e-12      -6.446922252158e-15 
  113       4.192007605957e-10       1.276446963995e-13      -4.255389046349e-12       0.000000000000e+00       7.352272332796e-12       1.084037116900e-12      -6.382418108544e-15 
  114       4.237034769511e-10       1.292080973365e-13      -4.339554883555e-12       0.000000000000e+00       7.178722818133e-12       1.064116307082e-12      -6.316848462673e-15 
  115       4.282244307689e-10       1.307269197894e-13      -4.422824955724e-12       0.000000000000e+00       7.010588017734e-12       1.044747669865e-12      -6.250244542027e-15 
  116       4.327628310717e-10       1.321995861049e-13      -4.505124846458e-12       0.000000000000e+00       6.847753069844e-12       1.025917059659e-12      -6.182633829617e-15 
  117       4.373177746273e-10       1.336245396853e-13      -4.586379766091e-12       0.000000000000e+00       6.690064489149e-12       1.007605850681e-12      -6.114039898965e-15 
  118       4.418882424837e-10       1.350002462070e-13      -4.666514579602e-12       0.000000000000e+00       6.537329054540e-12       9.897908074745e-13      -6.044482249089e-15 
  119       4.464730965033e-10       1.363251948386e-13      -4.745453834517e-12       0.000000000000e+00       6.389312696878e-12       9.724439554271e-13      -5.973976139484e-15 
  120       4.510710758981e-10       1.375978994596e-13      -4.823121788827e-12       0.000000000000e+00       6.245739386760e-12       9.555324512831e-13      -5.902532425105e-15 
  121       4.556807937639e-10       1.388168998783e-13      -4.899442438887e-12       0.000000000000e+00       6.106290022284e-12       9.390184536610e-13      -5.830157391352e-15 
  122       4.603007336156e-10       1.399807630512e-13      -4.974339547334e-12       0.000000000000e+00       5.970601316813e-12       9.228589935695e-13      -5.756852589051e-15 
  123       4.649294320139e-10       1.410881320164e-13      -5.047737632975e-12       0.000000000000e+00       5.838344201781e-12       9.070160366413e-13      -5.682643655261e-15 
  124       4.695660575870e-10       1.421378764681e-13      -5.119565009795e-12       0.000000000000e+00       5.709471602999e-12       8.914882545531e-13      -5.607670876248e-15 
  125       4.742098923073e-10       1.431289618577e-13      -5.189751151303e-12       0.000000000000e+00       5.583997165805e-12       8.762826765392e-13      -5.532108766016e-15 
  126       4.788601493761e-10       1.440604048043e-13      -5.258225794925e-12       0.000000000000e+00       5.461917807979e-12       8.614047758051e-13      -5.456138074744e-15 
  127       4.835159712225e-10       1.449312746884e-13      -5.324918977484e-12       0.000000000000e+00       5.343213233114e-12       8.468584202298e-13      -5.379945851829e-15 
  128       4.881764275019e-10       1.457406952461e-13      -5.389761070677e-12       0.000000000000e+00       5.227845443994e-12       8.326458230686e-13      -5.303725508920e-15 
  129       4.928405130952e-10       1.464878461625e-13      -5.452682816553e-12       0.000000000000e+00       5.115758255968e-12       8.187674936559e-13      -5.227676882957e-15 
  130       4.975071461075e-10       1.471719646660e-13      -5.513615362990e-12       0.000000000000e+00       5.006876810324e-12       8.052221881073e-13      -5.152006299213e-15 
  131       5.021751658669e-10       1.477923471215e-13      -5.572490299174e-12       0.000000000000e+00       4.901107087667e-12       7.920068600229e-13      -5.076926634326e-15 
  132       5.068433309232e-10       1.483483506251e-13      -5.629239691075e-12       0.000000000000e+00       4.798335421291e-12       7.791166111893e-13      -5.002657379342e-15 
  133       5.115103170470e-10       1.488393945969e-13      -5.683796116924e-12       0.000000000000e+00       4.698428010558e-12       7.665446422827e-13      -4.929424702752e-15 
  134       5.161747152283e-10       1.492649623759e-13      -5.736092702695e-12       0.000000000000e+00       4.601230434267e-12       7.542822035711e-13      -4.857461513529e-15 
  135       5.208350296754e-10       1.496246028128e-13      -5.786063157577e-12       0.000000000000e+00       4.506567164035e-12       7.423185456173e-13      -4.787007524168e-15 
  136       5.254896758138e-10       1.499179318645e-13      -5.833641809455e-12       0.000000000000e+00       4.414241077671e-12       7.306408699813e-13      -4.718309313722e-15 
  137       5.301371168596e-10       1.501446619176e-13      -5.878764262312e-12       0.000000000000e+00       4.324075290260e-12       7.192368811879e-13      -4.651560047172e-15 
  138       5.347762937266e-10       1.503046898091e-13      -5.921369370112e-12       0.000000000000e+00       4.236044562890e-12       7.081028450227e-13      -4.586711460010e-15 
  139       5.394062360185e-10       1.503980209781e-13      -5.961397535394e-12       0.000000000000e+00       4.150156632638e-12       6.972362745143e-13      -4.523642446924e-15 
  140       5.440259263346e-10       1.504247443074e-13      -5.998790144727e-12       0.000000000000e+00       4.066410898950e-12       6.866333710059e-13      -4.462217342790e-15 
  141       5.486342991480e-10       1.503850338923e-13      -6.033489608139e-12       0.000000000000e+00       3.984798205624e-12       6.762889913691e-13      -4.402285602695e-15 
  142       5.532302396842e-10       1.502791508113e-13      -6.065439398542e-12       0.000000000000e+00       3.905300622774e-12       6.661966152173e-13      -4.343681481962e-15 
  143       5.578125827994e-10       1.501074448957e-13      -6.094584091154e-12       0.000000000000e+00       3.827891228813e-12       6.563483121185e-13      -4.286223716176e-15 
  144       5.623801118590e-10       1.498703564991e-13      -6.120869402927e-12       0.000000000000e+00       3.752533892417e-12       6.467347088090e-13      -4.229715201210e-15 
  145       5.669315576158e-10       1.495684182678e-13      -6.144242231971e-12       0.000000000000e+00       3.679183054509e-12       6.373449564070e-13      -4.173942673251e-15 
  146       5.714655970883e-10       1.492022569101e-13      -6.164650696982e-12       0.000000000000e+00       3.607783510223e-12       6.281666976254e-13      -4.118676388821e-15 
  147       5.759808524396e-10       1.487725949665e-13      -6.182044176660e-12       0.000000000000e+00       3.538270190887e-12       6.191860339855e-13      -4.063669804809e-15 
  148       5.804758898551e-10       1.482802525792e-13      -6.196373349143e-12       0.000000000000e+00       3.470567945988e-12       6.103874930303e-13      -4.008659258491e-15 
  149       5.849492184214e-10       1.477261492624e-13      -6.207590231424e-12       0.000000000000e+00       3.404591325152e-12       6.017539955377e-13      -3.953363647559e-15 
  150       5.893992890046e-10       1.471113056717e-13      -6.215648218783e-12       0.000000000000e+00       3.340244360117e-12       5.932668227340e-13      -3.897484110143e-15 
  151       5.938244931283e-10       1.464368453742e-13      -6.220502124207e-12       0.000000000000e+00       3.277420346702e-12       5.849055835072e-13      -3.840703704840e-15 
  152       5.982231618526e-10       1.457039966182e-13      -6.222108217816e-12       0.000000000000e+00       3.216001626786e-12       5.766481816203e-13      -3.782687090736e-15 
  153       6.025936874094e-10       1.449140785596e-13      -6.220424509122e-12       0.000000000000e+00       3.155883915675e-12       5.684759006271e-13      -3.723161885940e-15 
  154       6.069349031908e-10       1.440684547766e-13      -6.215411540329e-12       0.000000000000e+00       3.097052287086e-12       5.603892593767e-13      -3.662171924662e-15 
  155       6.112457371018e-10       1.431685787893e-13      -6.207031742274e-12       0.000000000000e+00       3.039511867173e-12       5.523935744225e-13      -3.599847036624e-15 
  156       6.155250914843e-10       1.422160108909e-13      -6.195249238536e-12       0.000000000000e+00       2.983263831566e-12       5.444939680893e-13      -3.536323579143e-15 
  157       6.197718426213e-10       1.412124198391e-13      -6.180029886109e-12       0.000000000000e+00       2.928305312360e-12       5.366953617517e-13      -3.471744533148e-15 
  158       6.239848402398e-10       1.401595845459e-13      -6.161341316055e-12       0.000000000000e+00       2.874629305095e-12       5.290024691113e-13      -3.406259599185e-15 
  159       6.281629070149e-10       1.390593957691e-13      -6.139152974170e-12       0.000000000000e+00       2.822224575736e-12       5.214197894740e-13      -3.340025293427e-15 
  160       6.323048380730e-10       1.379138578023e-13      -6.113436161644e-12       0.000000000000e+00       2.771075567658e-12       5.139516010280e-13      -3.273205043687e-15 
  161       6.364094004957e-10       1.367250901661e-13      -6.084164075726e-12       0.000000000000e+00       2.721162308626e-12       5.066019541209e-13      -3.205969285423e-15 
  162       6.404753328231e-10       1.354953292985e-13      -6.051311850380e-12       0.000000000000e+00       2.672460317778e-12       4.993746645375e-13      -3.138495557750e-15 
