# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#         x_e = electron ionization fraction
#      -kappa = optical depth
#      kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#           g = kappa' e^-kappa = visibility function 
#          Tb = baryon temperature 
#         w_b = baryon equation of state parameter 
#       c_b^2 = baryon sound speed squared 
#       tau_d = baryon drag optical depth 
#    1:scale factor a         2:z                      3:conf. time [Mpc]       4:x_e                    5:kappa' [Mpc^-1]        6:exp(-kappa)            7:g [Mpc^-1]             8:Tb [K]                 9:dTb [K]               10:w_b                   11:c_b^2                 12:tau_d              
       1.874261935556e-01       4.335433543354e+00       6.546461809015e+03       1.084637694443e+00       1.201622732606e-05       9.755377231831e-01       1.172228304692e-05       6.128544375444e+00       1.167719147342e+00       9.197632915484e-13       1.231440897325e-12       1.275081597950e-04 
       1.869006897325e-01       4.350435043504e+00       6.536992266045e+03       1.084479799611e+00       1.208213465173e-05       9.754264200303e-01       1.178523334966e-05       6.146003345021e+00       1.159896260933e+00       9.223162851471e-13       1.232753711486e-12       1.284062418321e-04 
       1.863781244758e-01       4.365436543654e+00       6.527561933636e+03       1.084330495090e+00       1.214830845165e-05       9.753149829622e-01       1.184842725054e-05       6.163344230727e+00       1.151976092854e+00       9.248548451968e-13       1.234015647857e-12       1.293080319345e-04 
       1.858584732058e-01       4.380438043804e+00       6.518170544969e+03       1.084189341296e+00       1.221474530716e-05       9.752034114836e-01       1.191186129395e-05       6.180565570380e+00       1.143958168905e+00       9.273785987157e-13       1.235225917286e-12       1.302135411612e-04 
       1.853417116165e-01       4.395439543954e+00       6.508817835725e+03       1.084055917589e+00       1.228144191265e-05       9.750917051385e-01       1.197553213616e-05       6.197665894527e+00       1.135842004813e+00       9.298871773139e-13       1.236383734019e-12       1.311227802915e-04 
       1.848278156713e-01       4.410441044104e+00       6.499503544053e+03       1.083929821842e+00       1.234839507578e-05       9.749798635085e-01       1.203943654553e-05       6.214643726282e+00       1.127627106081e+00       9.323802171226e-13       1.237488315496e-12       1.320357598351e-04 
       1.843167615993e-01       4.425442544254e+00       6.490227410544e+03       1.083810669960e+00       1.241560171721e-05       9.748678862111e-01       1.210357140209e-05       6.231497581179e+00       1.119312967863e+00       9.348573587024e-13       1.238538882121e-12       1.329524900414e-04 
       1.838085258920e-01       4.440444044404e+00       6.480989178196e+03       1.083698095380e+00       1.248305886974e-05       9.747557728981e-01       1.216793369670e-05       6.248225967009e+00       1.110899074867e+00       9.373182469320e-13       1.239534657019e-12       1.338729809098e-04 
       1.833030852995e-01       4.455445544554e+00       6.471788592390e+03       1.083591748533e+00       1.255076367705e-05       9.746435232539e-01       1.223252052973e-05       6.264827385467e+00       1.102384902186e+00       9.397625311511e-13       1.240474866291e-12       1.347972421993e-04 
       1.828004168266e-01       4.470447044704e+00       6.462625400876e+03       1.083491296298e+00       1.261871339210e-05       9.745311369946e-01       1.229732910942e-05       6.281300329349e+00       1.093769913898e+00       9.421898646239e-13       1.241358737980e-12       1.357252834362e-04 
       1.823004977301e-01       4.485448544854e+00       6.453499353720e+03       1.083396421438e+00       1.268690537517e-05       9.744186138656e-01       1.236235674992e-05       6.297643277880e+00       1.085053560743e+00       9.445999037099e-13       1.242185500486e-12       1.366571139259e-04 
       1.818033055146e-01       4.500450045005e+00       6.444410203289e+03       1.083306822029e+00       1.275533709163e-05       9.743059536409e-01       1.242760086907e-05       6.313854706670e+00       1.076235285212e+00       9.469923092221e-13       1.242954385181e-12       1.375927427609e-04 
       1.813088179296e-01       4.515451545155e+00       6.435357704222e+03       1.083222210883e+00       1.282400610954e-05       9.741931561213e-01       1.249305898597e-05       6.329933082788e+00       1.067314519106e+00       9.493667455436e-13       1.243664624745e-12       1.385321788292e-04 
       1.808170129659e-01       4.530453045305e+00       6.426341613410e+03       1.083142314979e+00       1.289291009702e-05       9.740802211333e-01       1.255872871836e-05       6.345876864603e+00       1.058290683537e+00       9.517228804559e-13       1.244315452866e-12       1.394754308232e-04 
       1.803278688525e-01       4.545454545455e+00       6.417361689961e+03       1.083066874887e+00       1.296204681948e-05       9.739671485277e-01       1.262460777986e-05       6.361684501634e+00       1.049163188928e+00       9.540603849635e-13       1.244906103937e-12       1.404225072479e-04 
       1.798413640533e-01       4.560456045605e+00       6.408417695176e+03       1.082995644206e+00       1.303141413678e-05       9.738539381786e-01       1.269069397714e-05       6.377354434399e+00       1.039931435021e+00       9.563789331163e-13       1.245435812754e-12       1.413734164294e-04 
       1.793574772642e-01       4.575457545755e+00       6.399509392546e+03       1.082928389004e+00       1.310101000023e-05       9.737405899821e-01       1.275698520699e-05       6.392885094257e+00       1.030594810893e+00       9.586782018297e-13       1.245903814219e-12       1.423281665200e-04 
       1.788761874094e-01       4.590459045905e+00       6.390636547691e+03       1.082864887272e+00       1.317083244960e-05       9.736271038548e-01       1.282347945326e-05       6.408274903258e+00       1.021152694979e+00       9.609578707050e-13       1.246309343042e-12       1.432867655094e-04 
       1.783974736391e-01       4.605460546055e+00       6.381798928357e+03       1.082804928392e+00       1.324087961004e-05       9.735134797335e-01       1.289017478391e-05       6.423522273990e+00       1.011604455087e+00       9.632176218500e-13       1.246651633440e-12       1.442492212300e-04 
       1.779213153259e-01       4.620462046205e+00       6.372996304384e+03       1.082748312610e+00       1.331114968905e-05       9.733997175732e-01       1.295706934790e-05       6.438625609427e+00       1.001949448426e+00       9.654571397009e-13       1.246929918851e-12       1.452155413642e-04 
       1.774476920620e-01       4.635463546355e+00       6.364228447687e+03       1.082694850531e+00       1.338164097334e-05       9.732858173470e-01       1.302416137218e-05       6.453583294995e+00       9.921870177424e-01       9.676761096795e-13       1.247143429380e-12       1.461857334507e-04 
       1.769765836563e-01       4.650465046505e+00       6.355495132232e+03       1.082644362626e+00       1.345235182580e-05       9.731717790445e-01       1.309144915865e-05       6.468393716305e+00       9.823165002963e-01       9.698742207004e-13       1.247291396715e-12       1.471598048912e-04 
       1.765079701319e-01       4.665466546655e+00       6.346796134001e+03       1.082596678752e+00       1.352328068247e-05       9.730576026714e-01       1.315893108114e-05       6.483055257094e+00       9.723372269274e-01       9.720511647142e-13       1.247373053305e-12       1.481377629573e-04 
       1.760418317224e-01       4.680468046805e+00       6.338131231002e+03       1.082551637691e+00       1.359442604951e-05       9.729432882484e-01       1.322660558246e-05       6.497566279377e+00       9.622485122217e-01       9.742066335851e-13       1.247387626355e-12       1.491196147933e-04 
       1.755781488700e-01       4.695469546955e+00       6.329500203209e+03       1.082509086707e+00       1.366578650023e-05       9.728288358103e-01       1.329447117145e-05       6.511925134887e+00       9.520496603461e-01       9.763403206657e-13       1.247334340929e-12       1.501053674252e-04 
       1.751169022225e-01       4.710471047105e+00       6.320902832556e+03       1.082468881111e+00       1.373736067221e-05       9.727142454052e-01       1.336252642013e-05       6.526130164925e+00       9.417399650712e-01       9.784519206346e-13       1.247212419684e-12       1.510950277651e-04 
       1.746580726301e-01       4.725472547255e+00       6.312338902913e+03       1.082430883850e+00       1.380914726442e-05       9.725995170942e-01       1.343076996085e-05       6.540179700193e+00       9.313187097902e-01       9.805411293381e-13       1.247021082619e-12       1.520886026159e-04 
       1.742016411436e-01       4.740474047405e+00       6.303808200066e+03       1.082394965112e+00       1.388114503441e-05       9.724846509501e-01       1.349920048358e-05       6.554072060644e+00       9.207851675349e-01       9.826076436358e-13       1.246759546824e-12       1.530860986764e-04 
       1.737475890111e-01       4.755475547555e+00       6.295310511694e+03       1.082361001941e+00       1.395335279563e-05       9.723696470571e-01       1.356781673315e-05       6.567805555320e+00       9.101386009911e-01       9.846511612504e-13       1.246427026228e-12       1.540875225458e-04 
       1.732958976759e-01       4.770477047705e+00       6.286845627342e+03       1.082328877870e+00       1.402576941470e-05       9.722545055100e-01       1.363661750669e-05       6.581378482198e+00       8.993782625118e-01       9.866713806214e-13       1.246022731369e-12       1.550928807287e-04 
       1.728465487735e-01       4.785478547855e+00       6.278413338420e+03       1.082298482574e+00       1.409839380888e-05       9.721392264138e-01       1.370560165104e-05       6.594789128025e+00       8.885033941276e-01       9.886680007624e-13       1.245545869159e-12       1.561021796378e-04 
       1.723995241297e-01       4.800480048005e+00       6.270013438163e+03       1.082269711531e+00       1.417122494348e-05       9.720238098832e-01       1.377476806028e-05       6.608035768168e+00       8.775132275535e-01       9.906407211235e-13       1.244995642652e-12       1.571154255991e-04 
       1.719548057576e-01       4.815481548155e+00       6.261645721616e+03       1.082242465703e+00       1.424426182947e-05       9.719082560416e-01       1.384411567328e-05       6.621116640194e+00       8.664069711493e-01       9.925892375202e-13       1.244371243102e-12       1.581326248557e-04 
       1.715123758555e-01       4.830483048305e+00       6.253309985612e+03       1.082216651227e+00       1.431750352103e-05       9.717925650209e-01       1.391364347140e-05       6.634030015661e+00       8.551838456818e-01       9.945132527894e-13       1.243671870899e-12       1.591537835714e-04 
       1.710722168044e-01       4.845484548455e+00       6.245006028756e+03       1.082192179122e+00       1.439094911329e-05       9.716767369610e-01       1.398335047618e-05       6.646774154774e+00       8.438430618375e-01       9.964124698892e-13       1.242896722101e-12       1.601789078338e-04 
       1.706343111657e-01       4.860486048605e+00       6.236733651404e+03       1.082168965006e+00       1.446459774005e-05       9.715607720096e-01       1.405323574713e-05       6.659347283263e+00       8.323838088298e-01       9.982865883330e-13       1.242044981454e-12       1.612080036576e-04 
       1.701986416790e-01       4.875487548755e+00       6.228492655645e+03       1.082146928833e+00       1.453844857161e-05       9.714446703213e-01       1.412329837963e-05       6.671747614951e+00       8.208052656919e-01       1.000135307479e-12       1.241115828873e-12       1.622410769876e-04 
       1.697651912596e-01       4.890489048905e+00       6.220282845275e+03       1.082125994632e+00       1.461250081264e-05       9.713284320574e-01       1.419353750278e-05       6.683973351589e+00       8.091066012617e-01       1.001958326411e-12       1.240108439244e-12       1.632781337020e-04 
       1.693339429965e-01       4.905490549055e+00       6.212104025798e+03       1.082106090264e+00       1.468675370014e-05       9.712120573858e-01       1.426395227743e-05       6.696022682682e+00       7.972869741652e-01       1.003755343830e-12       1.239021982231e-12       1.643191796132e-04 
       1.689048801500e-01       4.920492049205e+00       6.203956004386e+03       1.082087147191e+00       1.476120650146e-05       9.710955464802e-01       1.433454189424e-05       6.707893785318e+00       7.853455327972e-01       1.005526057937e-12       1.237855622087e-12       1.653642204729e-04 
       1.684779861497e-01       4.935493549355e+00       6.195838589866e+03       1.082069100249e+00       1.483585851232e-05       9.709788995202e-01       1.440530557173e-05       6.719584824004e+00       7.732814152995e-01       1.007270166331e-12       1.236608517468e-12       1.664132619734e-04 
       1.680532445923e-01       4.950495049505e+00       6.187751592707e+03       1.082051887440e+00       1.491070905497e-05       9.708621166905e-01       1.447624255446e-05       6.731093950486e+00       7.610937495370e-01       1.008987365904e-12       1.235279821255e-12       1.674663097498e-04 
       1.676306392396e-01       4.965496549655e+00       6.179694824997e+03       1.082035449723e+00       1.498575747633e-05       9.707451981811e-01       1.454735211126e-05       6.742419303587e+00       7.487816530723e-01       1.010677352738e-12       1.233868680375e-12       1.685233693820e-04 
       1.672101540160e-01       4.980498049805e+00       6.171668100431e+03       1.082019730826e+00       1.506100314625e-05       9.706281441866e-01       1.461863353344e-05       6.753559009029e+00       7.363442331376e-01       1.012339822010e-12       1.232374235632e-12       1.695844463968e-04 
       1.667917730071e-01       4.995499549955e+00       6.163671234284e+03       1.082004677054e+00       1.513644545574e-05       9.705109549064e-01       1.469008613313e-05       6.764511190004e+00       7.237805919044e-01       1.013974469503e-12       1.230795624731e-12       1.706495462703e-04 
       1.663754804572e-01       5.010501050105e+00       6.155704043413e+03       1.081990237117e+00       1.521208381526e-05       9.703936305442e-01       1.476170924163e-05       6.775273934643e+00       7.110898104759e-01       1.015580986664e-12       1.229131972487e-12       1.717186744276e-04 
       1.659612607678e-01       5.025502550255e+00       6.147766346221e+03       1.081976361954e+00       1.528791765312e-05       9.702761713076e-01       1.483350220773e-05       6.785845324178e+00       6.982709628521e-01       1.017159064762e-12       1.227382399086e-12       1.727918362459e-04 
       1.655490984950e-01       5.040504050405e+00       6.139857962649e+03       1.081963004577e+00       1.536394641383e-05       9.701585774085e-01       1.490546439622e-05       6.796223431086e+00       6.853231150570e-01       1.018708394543e-12       1.225546019430e-12       1.738690370564e-04 
       1.651389783481e-01       5.055505550555e+00       6.131978714154e+03       1.081950119909e+00       1.544016955651e-05       9.700408490622e-01       1.497759518626e-05       6.806406313804e+00       6.722453225782e-01       1.020228665381e-12       1.223621941462e-12       1.749502821445e-04 
       1.647308851876e-01       5.070507050705e+00       6.124128423698e+03       1.081937664633e+00       1.551658655334e-05       9.699229864878e-01       1.504989396991e-05       6.816392016562e+00       6.590366303343e-01       1.021719565193e-12       1.221609266014e-12       1.760355767516e-04 
       1.643248040231e-01       5.085508550855e+00       6.116306915730e+03       1.081925597055e+00       1.559319688803e-05       9.698049899075e-01       1.512236015062e-05       6.826178569218e+00       6.456960726403e-01       1.023180780358e-12       1.219507086661e-12       1.771249260759e-04 
       1.639207200118e-01       5.100510051005e+00       6.108514016172e+03       1.081913876958e+00       1.567000005429e-05       9.696868595471e-01       1.519499314175e-05       6.835763987092e+00       6.322226731737e-01       1.024611995636e-12       1.217314489576e-12       1.782183352732e-04 
       1.635186184566e-01       5.115511551155e+00       6.100749552395e+03       1.081902465469e+00       1.574699555437e-05       9.695685956354e-01       1.526779236512e-05       6.845146270798e+00       6.186154449390e-01       1.026012894091e-12       1.215030553386e-12       1.793158094587e-04 
       1.631184848040e-01       5.130513051305e+00       6.093013353223e+03       1.081891324934e+00       1.582418289751e-05       9.694501984043e-01       1.534075724958e-05       6.854323406081e+00       6.048733902332e-01       1.027383157013e-12       1.212654349031e-12       1.804173537055e-04 
       1.627203046429e-01       5.145514551455e+00       6.085305248901e+03       1.081880418786e+00       1.590156159856e-05       9.693316680887e-01       1.541388722954e-05       6.863293363647e+00       5.909955006105e-01       1.028722463844e-12       1.210184939632e-12       1.815229730472e-04 
       1.623240637023e-01       5.160516051605e+00       6.077625071081e+03       1.081869711431e+00       1.597913117641e-05       9.692130049261e-01       1.548718174360e-05       6.872054099000e+00       5.769807568479e-01       1.030030492102e-12       1.207621380351e-12       1.826326724782e-04 
       1.619297478502e-01       5.175517551755e+00       6.069972652809e+03       1.081859168123e+00       1.605689115262e-05       9.690942091572e-01       1.556064023307e-05       6.880603664916e+00       5.628281842443e-01       1.031306934191e-12       1.204962752217e-12       1.837464569540e-04 
       1.615373430912e-01       5.190519051905e+00       6.062347828517e+03       1.081848754853e+00       1.613484104986e-05       9.689752810250e-01       1.563426214058e-05       6.888939832583e+00       5.485366665288e-01       1.032551440570e-12       1.202208047895e-12       1.848643313908e-04 
       1.611468355654e-01       5.205520552055e+00       6.054750433997e+03       1.081838438235e+00       1.621298039050e-05       9.688562207754e-01       1.570804690864e-05       6.897060502330e+00       5.341051477605e-01       1.033763681267e-12       1.199356295267e-12       1.859863006668e-04 
       1.607582115468e-01       5.220522052205e+00       6.047180306398e+03       1.081828185399e+00       1.629130869508e-05       9.687370286568e-01       1.578199397820e-05       6.904963581827e+00       5.195325724840e-01       1.034943327575e-12       1.196406520744e-12       1.871123696212e-04 
       1.603714574412e-01       5.235523552355e+00       6.039637284200e+03       1.081817963876e+00       1.636982548083e-05       9.686177049203e-01       1.585610278718e-05       6.912646960366e+00       5.048178731464e-01       1.036090048158e-12       1.193357741456e-12       1.882425430556e-04 
       1.599865597850e-01       5.250525052505e+00       6.032121207220e+03       1.081807741501e+00       1.644853026010e-05       9.684982498196e-01       1.593037276902e-05       6.920108508865e+00       4.899599701541e-01       1.037203508999e-12       1.190208965169e-12       1.893768257312e-04 
       1.596035052435e-01       5.265526552655e+00       6.024631916575e+03       1.081797486301e+00       1.652742253888e-05       9.683786636110e-01       1.600480335114e-05       6.927346079868e+00       4.749577719301e-01       1.038283373360e-12       1.186959190216e-12       1.905152223715e-04 
       1.592222806096e-01       5.280528052805e+00       6.017169254683e+03       1.081787166391e+00       1.660650181513e-05       9.682589465533e-01       1.607939395346e-05       6.934357507539e+00       4.598101749744e-01       1.039329301737e-12       1.183607405430e-12       1.916577376607e-04 
       1.588428728018e-01       5.295529552955e+00       6.009733065240e+03       1.081776749876e+00       1.668576757723e-05       9.681390989080e-01       1.615414398681e-05       6.941140669575e+00       4.445160942595e-01       1.040340961090e-12       1.180152608892e-12       1.928043762436e-04 
       1.584652688632e-01       5.310531053105e+00       6.002323193216e+03       1.081766204742e+00       1.676521930227e-05       9.680191209391e-01       1.622905285134e-05       6.947693398250e+00       4.290744196804e-01       1.041318011474e-12       1.176593780902e-12       1.939551427247e-04 
       1.580894559598e-01       5.325532553255e+00       5.994939484837e+03       1.081755498755e+00       1.684485645438e-05       9.678990129135e-01       1.630411993487e-05       6.954013300372e+00       4.134839279690e-01       1.042260078999e-12       1.172929829018e-12       1.951100416677e-04 
       1.577154213789e-01       5.340534053405e+00       5.987581787572e+03       1.081744599357e+00       1.692467848295e-05       9.677787751007e-01       1.637934461120e-05       6.960098152779e+00       3.977434765357e-01       1.043166815073e-12       1.169159708284e-12       1.962690775948e-04 
       1.573431525280e-01       5.355535553555e+00       5.980249950116e+03       1.081733473563e+00       1.700468482081e-05       9.676584077728e-01       1.645472623839e-05       6.965945712469e+00       3.818519104860e-01       1.044037867889e-12       1.165282363504e-12       1.974322549864e-04 
       1.569726369331e-01       5.370537053705e+00       5.972943822396e+03       1.081722087853e+00       1.708487488237e-05       9.675379112051e-01       1.653026415689e-05       6.971553716603e+00       3.658080627023e-01       1.044872882389e-12       1.161296729195e-12       1.985995782775e-04 
       1.566038622375e-01       5.385538553855e+00       5.965663255538e+03       1.081710408067e+00       1.716524806163e-05       9.674172856759e-01       1.660595768774e-05       6.976919882504e+00       3.496107539302e-01       1.045671500206e-12       1.157201729527e-12       1.997710518597e-04 
       1.562368162003e-01       5.400540054005e+00       5.958408101859e+03       1.081698399298e+00       1.724580373020e-05       9.672965314662e-01       1.668180613057e-05       6.982041907657e+00       3.332587928706e-01       1.046433359628e-12       1.152996278280e-12       2.009466800788e-04 
       1.558714866950e-01       5.415541554155e+00       5.951178214860e+03       1.081686025775e+00       1.732654123514e-05       9.671756488606e-01       1.675780876161e-05       6.986917469706e+00       3.167509762769e-01       1.047158095539e-12       1.148679278796e-12       2.021264672331e-04 
       1.555078617086e-01       5.430543054305e+00       5.943973449211e+03       1.081673250757e+00       1.740745989679e-05       9.670546381465e-01       1.683396483154e-05       6.991544347349e+00       3.000861481656e-01       1.047845357495e-12       1.144249661039e-12       2.033104175722e-04 
       1.551459293395e-01       5.445544554455e+00       5.936793660740e+03       1.081660036413e+00       1.748855900645e-05       9.669334996152e-01       1.691027356333e-05       6.995920042329e+00       2.832630150855e-01       1.048494753017e-12       1.139706265611e-12       2.044985352949e-04 
       1.547856777969e-01       5.460546054605e+00       5.929638706422e+03       1.081646343705e+00       1.756983782396e-05       9.668122335613e-01       1.698673414989e-05       7.000042129866e+00       2.662803176311e-01       1.049105900060e-12       1.135047951080e-12       2.056908245480e-04 
       1.544270953992e-01       5.475547554755e+00       5.922508444361e+03       1.081632132262e+00       1.765129557519e-05       9.666908402832e-01       1.706334575167e-05       7.003908221516e+00       2.491368123733e-01       1.049678421391e-12       1.130273582670e-12       2.068872894241e-04 
       1.540701705727e-01       5.490549054905e+00       5.915402733793e+03       1.081617360257e+00       1.773293144938e-05       9.665693200835e-01       1.714010749411e-05       7.007515907750e+00       2.318312439120e-01       1.050211935931e-12       1.125382014624e-12       2.080879339582e-04 
       1.537148918508e-01       5.505550555056e+00       5.908321435063e+03       1.081601984271e+00       1.781474459635e-05       9.664476732685e-01       1.721701846501e-05       7.010862757950e+00       2.143623450222e-01       1.050706058695e-12       1.120372090182e-12       2.092927621268e-04 
       1.533612478719e-01       5.520552055206e+00       5.901264409614e+03       1.081585959163e+00       1.789673412357e-05       9.663259001493e-01       1.729407771169e-05       7.013946320413e+00       1.967288368086e-01       1.051160400731e-12       1.115242641560e-12       2.105017778454e-04 
       1.530092273791e-01       5.535553555356e+00       5.894231519981e+03       1.081569237922e+00       1.797889909310e-05       9.662040010412e-01       1.737128423807e-05       7.016764122345e+00       1.789294288722e-01       1.051574569063e-12       1.109992489936e-12       2.117149849653e-04 
       1.526588192186e-01       5.550555055506e+00       5.887222629775e+03       1.081551771526e+00       1.806123851830e-05       9.660819762645e-01       1.744863700154e-05       7.019313685254e+00       1.609628269992e-01       1.051948168931e-12       1.104620450208e-12       2.129323872708e-04 
       1.523100123383e-01       5.565556555656e+00       5.880237603677e+03       1.081533508783e+00       1.814375136042e-05       9.659598261445e-01       1.752613490972e-05       7.021592536632e+00       1.428277390554e-01       1.052280805474e-12       1.099125334641e-12       2.141539884759e-04 
       1.519627957872e-01       5.580558055806e+00       5.873276307424e+03       1.081514396174e+00       1.822643652499e-05       9.658375510119e-01       1.760377681697e-05       7.023598049043e+00       1.245227966291e-01       1.052572059551e-12       1.093505902981e-12       2.153797922213e-04 
       1.516171587136e-01       5.595559555956e+00       5.866338607800e+03       1.081494377686e+00       1.830929285799e-05       9.657151512031e-01       1.768156152078e-05       7.025327672415e+00       1.060466686729e-01       1.052821522477e-12       1.087760934405e-12       2.166098020710e-04 
       1.512730903645e-01       5.610561056106e+00       5.859424372626e+03       1.081473394635e+00       1.839231914183e-05       9.655926270603e-01       1.775948775789e-05       7.026778834962e+00       8.739801335065e-02       1.053028781102e-12       1.081889196895e-12       2.178440215076e-04 
       1.509305800842e-01       5.625562556256e+00       5.852533470753e+03       1.081451385481e+00       1.847551409105e-05       9.654699789325e-01       1.783755420025e-05       7.027948943174e+00       6.857547828900e-02       1.053193417732e-12       1.075889447261e-12       2.190824539283e-04 
       1.505896173135e-01       5.640564056406e+00       5.845665772045e+03       1.081428285640e+00       1.855887634784e-05       9.653472071748e-01       1.791575945069e-05       7.028835381825e+00       4.957770084777e-02       1.053315010049e-12       1.069760431178e-12       2.203251026416e-04 
       1.502501915882e-01       5.655565556556e+00       5.838821147370e+03       1.081404027279e+00       1.864240447725e-05       9.652243121499e-01       1.799410203837e-05       7.029435513971e+00       3.040330840897e-02       1.053393131023e-12       1.063500883232e-12       2.215719708624e-04 
       1.499122925381e-01       5.670567056706e+00       5.831999468594e+03       1.081378539101e+00       1.872609696212e-05       9.651012942277e-01       1.807258041397e-05       7.029746680945e+00       1.105091868613e-02       1.053427348826e-12       1.057109526978e-12       2.228230617062e-04 
       1.495759098865e-01       5.685568556856e+00       5.825200608571e+03       1.081351746127e+00       1.880995219774e-05       9.649781537860e-01       1.815119294458e-05       7.029766184892e+00      -8.480868466910e-03       1.053417224119e-12       1.050585069535e-12       2.240783781849e-04 
       1.492410334483e-01       5.700570057006e+00       5.818424441129e+03       1.081323569457e+00       1.889396848620e-05       9.648548912113e-01       1.822993790830e-05       7.029491339268e+00      -2.819344606149e-02       1.053362317525e-12       1.043926217454e-12       2.253379232004e-04 
       1.489076531296e-01       5.715571557156e+00       5.811670841064e+03       1.081293926021e+00       1.897814403031e-05       9.647315068987e-01       1.830881348850e-05       7.028919432378e+00      -4.808821738243e-02       1.053262184059e-12       1.037131665436e-12       2.266016995388e-04 
       1.485757589266e-01       5.730573057306e+00       5.804939684128e+03       1.081262728325e+00       1.906247692730e-05       9.646080012530e-01       1.838781776777e-05       7.028047716397e+00      -6.816660093294e-02       1.053116371382e-12       1.030200092987e-12       2.278697098652e-04 
       1.482453409243e-01       5.745574557456e+00       5.798230847028e+03       1.081229884167e+00       1.914696516200e-05       9.644843746889e-01       1.846694872146e-05       7.026873421993e+00      -8.843002286393e-02       1.052924421874e-12       1.023130169107e-12       2.291419567140e-04 
       1.479163892957e-01       5.760576057606e+00       5.791544207408e+03       1.081195296355e+00       1.923160659974e-05       9.643606276318e-01       1.854620421089e-05       7.025393758329e+00      -1.088799165034e-01       1.052685872522e-12       1.015920552426e-12       2.304184424847e-04 
       1.475888943010e-01       5.775577557756e+00       5.784879643839e+03       1.081158862395e+00       1.931639897868e-05       9.642367605183e-01       1.862558197608e-05       7.023605913061e+00      -1.295177218527e-01       1.052400254794e-12       1.008569891364e-12       2.316991694332e-04 
       1.472628462864e-01       5.790579057906e+00       5.778237035815e+03       1.081120474173e+00       1.940133990182e-05       9.641127737968e-01       1.870507962812e-05       7.021507052337e+00      -1.503448850470e-01       1.052067094514e-12       1.001076824304e-12       2.329841396638e-04 
       1.469382356831e-01       5.805580558056e+00       5.771616263743e+03       1.081080017609e+00       1.948642682837e-05       9.639886679284e-01       1.878469464097e-05       7.019094316225e+00      -1.713628600116e-01       1.051685911036e-12       9.934399783405e-13       2.342733551205e-04 
       1.466150530066e-01       5.820582058206e+00       5.765017208931e+03       1.081037372304e+00       1.957165706474e-05       9.638644433877e-01       1.886442434288e-05       7.016364730602e+00      -1.925731508082e-01       1.051256203905e-12       9.856579416531e-13       2.355668175777e-04 
       1.462932888557e-01       5.835583558356e+00       5.758439753585e+03       1.080992411152e+00       1.965702775487e-05       9.637401006634e-01       1.894426590722e-05       7.013315545973e+00      -2.139771457475e-01       1.050777503475e-12       9.777293707517e-13       2.368645286307e-04 
       1.459729339114e-01       5.850585058506e+00       5.751883780794e+03       1.080944999946e+00       1.974253587000e-05       9.636156402592e-01       1.902421634271e-05       7.009943832707e+00      -2.355763140626e-01       1.050249310101e-12       9.696528630116e-13       2.381664896855e-04 
       1.456539789363e-01       5.865586558656e+00       5.745349174527e+03       1.080894996946e+00       1.982817819786e-05       9.634910626949e-01       1.910427248316e-05       7.006246640530e+00      -2.573721273757e-01       1.049671117878e-12       9.614270072455e-13       2.394727019476e-04 
       1.453364147735e-01       5.880588058806e+00       5.738835819626e+03       1.080842252438e+00       1.991395133112e-05       9.633663685070e-01       1.918443097649e-05       7.002220998523e+00      -2.793660588829e-01       1.049042414469e-12       9.530503840311e-13       2.407831664093e-04 
       1.450202323456e-01       5.895589558956e+00       5.732343601789e+03       1.080786608254e+00       1.999985165514e-05       9.632415582502e-01       1.926468827307e-05       6.997863915124e+00      -3.015595824830e-01       1.048362680922e-12       9.445215660711e-13       2.420978838391e-04 
       1.447054226545e-01       5.910591059106e+00       5.725872407569e+03       1.080727897277e+00       2.008587533506e-05       9.631166324980e-01       1.934504061348e-05       6.993172378125e+00      -3.239541718491e-01       1.047631391486e-12       9.358391185868e-13       2.434168547682e-04 
       1.443919767794e-01       5.925592559256e+00       5.719422124363e+03       1.080665942903e+00       2.017201830193e-05       9.629915918440e-01       1.942548401528e-05       6.988143354675e+00      -3.465512994322e-01       1.046848013408e-12       9.270015997498e-13       2.447400794756e-04 
       1.440798858773e-01       5.940594059406e+00       5.712992640405e+03       1.080600558489e+00       2.025827623816e-05       9.628664369033e-01       1.950601425924e-05       6.982773780590e+00      -3.693524406039e-01       1.046012005129e-12       9.180075577498e-13       2.460675579743e-04 
       1.437691411810e-01       5.955595559556e+00       5.706583844758e+03       1.080531546757e+00       2.034464456194e-05       9.627411683135e-01       1.958662687449e-05       6.977060564513e+00      -3.923590704901e-01       1.045122816688e-12       9.088555326182e-13       2.473992899949e-04 
       1.434597339991e-01       5.970597059706e+00       5.700195627307e+03       1.080458699167e+00       2.043111841075e-05       9.626157867362e-01       1.966731712286e-05       6.971000632824e+00      -4.155726408487e-01       1.044179896222e-12       8.995440711308e-13       2.487352749690e-04 
       1.431516557145e-01       5.985598559856e+00       5.693827878748e+03       1.080381795258e+00       2.051769262387e-05       9.624902928583e-01       1.974807998233e-05       6.964590883491e+00      -4.389946012619e-01       1.043182682813e-12       8.900717127335e-13       2.500755120121e-04 
       1.428448977843e-01       6.000600060006e+00       5.687480490585e+03       1.080300601942e+00       2.060436172378e-05       9.623646873940e-01       1.982891012926e-05       6.957828189044e+00      -4.626263962952e-01       1.042130606683e-12       8.804369911477e-13       2.514199999038e-04 
