# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#         x_e = electron ionization fraction
#      -kappa = optical depth
#      kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#           g = kappa' e^-kappa = visibility function 
#          Tb = baryon temperature 
#         w_b = baryon equation of state parameter 
#       c_b^2 = baryon sound speed squared 
#       tau_d = baryon drag optical depth 
#    1:scale factor a         2:z                      3:conf. time [Mpc]       4:x_e                    5:kappa' [Mpc^-1]        6:exp(-kappa)            7:g [Mpc^-1]             8:Tb [K]                 9:dTb [K]               10:w_b                   11:c_b^2                 12:tau_d              
       7.272528911194e-01       3.750375037504e-01       1.254258697333e+04       1.163693697952e+00       8.562720777732e-07       9.990388265964e-01       8.554490518258e-07       6.629300502783e-01       9.223526784530e-01       1.031221000333e-13       1.688839989072e-13       1.701198041707e-06 
       7.194042736888e-01       3.900390039004e-01       1.248867112499e+04       1.163693679078e+00       8.750576405483e-07       9.989921978155e-01       8.741757555465e-07       6.768286591942e-01       9.305710668746e-01       1.052840975950e-13       1.723557979505e-13       1.796269450642e-06 
       7.117232543242e-01       4.050405040504e-01       1.243523973905e+04       1.163693659036e+00       8.940470383664e-07       9.989449820351e-01       8.931038026794e-07       6.908501584306e-01       9.387367113663e-01       1.074652112710e-13       1.758556558544e-13       1.893586631424e-06 
       7.042045214452e-01       4.200420042004e-01       1.238229008490e+04       1.163693637756e+00       9.132402711033e-07       9.988971843738e-01       9.122331354619e-07       7.049937514328e-01       9.468495296748e-01       1.096653171458e-13       1.793833195614e-13       1.993165161330e-06 
       6.968429855739e-01       4.350435043504e-01       1.232981929589e+04       1.163693615159e+00       9.326373386252e-07       9.988488099631e-01       9.315636958129e-07       7.192586414537e-01       9.549094474595e-01       1.118842912732e-13       1.829385363158e-13       2.095020256909e-06 
       6.896337678461e-01       4.500450045005e-01       1.227782437778e+04       1.163693591166e+00       9.522382407876e-07       9.987998639412e-01       9.510954253383e-07       7.336440315539e-01       9.629163976609e-01       1.141220096769e-13       1.865210536476e-13       2.199166785627e-06 
       6.825721892279e-01       4.650465046505e-01       1.222630221692e+04       1.163693565689e+00       9.720429774354e-07       9.987503514471e-01       9.708282653353e-07       7.481491246018e-01       9.708703199110e-01       1.163783483498e-13       1.901306193550e-13       2.305619277412e-06 
       6.756537603892e-01       4.800480048005e-01       1.217524958827e+04       1.163693538637e+00       9.920515484011e-07       9.987002776153e-01       9.907621567969e-07       7.627731232734e-01       9.787711599817e-01       1.186531832540e-13       1.937669814891e-13       2.414391936159e-06 
       6.688741721854e-01       4.950495049505e-01       1.212466316314e+04       1.163693509912e+00       1.012263953505e-06       9.986496475713e-01       1.010897040417e-06       7.775151502896e-01       9.866187612742e-01       1.209463779139e-13       1.974298675573e-13       2.525498650968e-06 
       6.622292867077e-01       5.100510051005e-01       1.207453951679e+04       1.163693479411e+00       1.032680192552e-06       9.985984664263e-01       1.031232856591e-06       7.923744819554e-01       9.944131826867e-01       1.232578197434e-13       2.011190453426e-13       2.638953007278e-06 
       6.557151288609e-01       5.250525052505e-01       1.202487513574e+04       1.163693447024e+00       1.053300265334e-06       9.985467392732e-01       1.051769545425e-06       8.073503506650e-01       1.002154425863e+00       1.255873893254e-13       2.048342714521e-13       2.754768297699e-06 
       6.493278784337e-01       5.400540054005e-01       1.197566642476e+04       1.163693412635e+00       1.074124171626e-06       9.984944711823e-01       1.072507046731e-06       8.224419552873e-01       1.009842451358e+00       1.279349620265e-13       2.085752939998e-13       2.872957532912e-06 
       6.430638626278e-01       5.550555055506e-01       1.192690971374e+04       1.163693376119e+00       1.095151911185e-06       9.984416671979e-01       1.093445300039e-06       8.376484946533e-01       1.017477224013e+00       1.303004132066e-13       2.123418613158e-13       2.993533452057e-06 
       6.369195490159e-01       5.700570057006e-01       1.187860126426e+04       1.163693337346e+00       1.116383483752e-06       9.983883323346e-01       1.114584244589e-06       8.529691675564e-01       1.025058712583e+00       1.326836182186e-13       2.161337219313e-13       3.116508533021e-06 
       6.308915388984e-01       5.850585058506e-01       1.183073727595e+04       1.163693296175e+00       1.137818889046e-06       9.983344715741e-01       1.135923819342e-06       8.684031727522e-01       1.032586889383e+00       1.350844524086e-13       2.199506245655e-13       3.241895002350e-06 
       6.249765610351e-01       6.000600060006e-01       1.178331389247e+04       1.163693252459e+00       1.159458126764e-06       9.982800898621e-01       1.157463962977e-06       8.839497089587e-01       1.040061729966e+00       1.375027911152e-13       2.237923181122e-13       3.369704845272e-06 
       6.191714657254e-01       6.150615061506e-01       1.173632720739e+04       1.163693206039e+00       1.181301196583e-06       9.982251921061e-01       1.179204613894e-06       8.996079748561e-01       1.047483212816e+00       1.399385096703e-13       2.276585516267e-13       3.499949815052e-06 
       6.134732192159e-01       6.300630063006e-01       1.168977326984e+04       1.163693156749e+00       1.203348098152e-06       9.981697831724e-01       1.201145710213e-06       9.153771690869e-01       1.054851319076e+00       1.423914833980e-13       2.315490743139e-13       3.632641442174e-06 
       6.078788984133e-01       6.450645064506e-01       1.164364808976e+04       1.163693104412e+00       1.225598831096e-06       9.981138678841e-01       1.223287189779e-06       9.312564902559e-01       1.062166032283e+00       1.448615876156e-13       2.354636355159e-13       3.767791043448e-06 
       6.023856858847e-01       6.600660066007e-01       1.159794764300e+04       1.163693048838e+00       1.248053395010e-06       9.980574510192e-01       1.245628990159e-06       9.472451369302e-01       1.069427338132e+00       1.473486976323e-13       2.394019847011e-13       3.905409730785e-06 
       5.969908651263e-01       6.750675067507e-01       1.155266787628e+04       1.163692989828e+00       1.270711789459e-06       9.980005373084e-01       1.268171048644e-06       9.633423076392e-01       1.076635224250e+00       1.498526887502e-13       2.433638714525e-13       4.045508419480e-06 
       5.916918160838e-01       6.900690069007e-01       1.150780471178e+04       1.163692927169e+00       1.293574013976e-06       9.979431314339e-01       1.290913302248e-06       9.795472008746e-01       1.083789679996e+00       1.523734362634e-13       2.473490454573e-13       4.188097836384e-06 
       5.864860109097e-01       7.050705070507e-01       1.146335405151e+04       1.163692860635e+00       1.316640068056e-06       9.978852380275e-01       1.313855687709e-06       9.958590217095e-01       1.090890704172e+00       1.549108164878e-13       2.513572582255e-13       4.333188528071e-06 
       5.813710099424e-01       7.200720072007e-01       1.141931178156e+04       1.163692789988e+00       1.339909951160e-06       9.978268616699e-01       1.336998141486e-06       1.012276995075e+00       1.097938320246e+00       1.574647088261e-13       2.553882665484e-13       4.480790868211e-06 
       5.763444578938e-01       7.350735073507e-01       1.137567377613e+04       1.163692714973e+00       1.363383662704e-06       9.977680068889e-01       1.360340599761e-06       1.028800275864e+00       1.104932469648e+00       1.600349817841e-13       2.594418090119e-13       4.630915064914e-06 
       5.714040802332e-01       7.500750075008e-01       1.133243590115e+04       1.163692635318e+00       1.387061202063e-06       9.977086781589e-01       1.383882998436e-06       1.045428063645e+00       1.111873148647e+00       1.626215108145e-13       2.635176359408e-13       4.783571168187e-06 
       5.665476797552e-01       7.650765076508e-01       1.128959401801e+04       1.163692550739e+00       1.410942568564e-06       9.976488798999e-01       1.407625273131e-06       1.062159557887e+00       1.118760354300e+00       1.652241713517e-13       2.676154977012e-13       4.938769076428e-06 
       5.617731333221e-01       7.800780078008e-01       1.124714398686e+04       1.163692460930e+00       1.435027761485e-06       9.975886164768e-01       1.431567359186e-06       1.078993957960e+00       1.125594084332e+00       1.678428388124e-13       2.717351446919e-13       5.096518543080e-06 
       5.570783887682e-01       7.950795079508e-01       1.120508166976e+04       1.163692365567e+00       1.459316780047e-06       9.975278921990e-01       1.455709191651e-06       1.095930463137e+00       1.132374337029e+00       1.704773885945e-13       2.758763273366e-13       5.256829183286e-06 
       5.524614619592e-01       8.100810081008e-01       1.116340293378e+04       1.163692264308e+00       1.483809623415e-06       9.974667113197e-01       1.480050705292e-06       1.112968272593e+00       1.139101111129e+00       1.731276960777e-13       2.800387960759e-13       5.419710479533e-06 
       5.479204339964e-01       8.250825082508e-01       1.112210365375e+04       1.163692156787e+00       1.508506290691e-06       9.974050780356e-01       1.504591834583e-06       1.130106585403e+00       1.145774405733e+00       1.757936366227e-13       2.842223013597e-13       5.585171787842e-06 
       5.434534485570e-01       8.400840084008e-01       1.108117971487e+04       1.163692042618e+00       1.533406780909e-06       9.973429964866e-01       1.529332513704e-06       1.147344600544e+00       1.152394220215e+00       1.784750855712e-13       2.884265936402e-13       5.753222343447e-06 
       5.390587093644e-01       8.550855085509e-01       1.104062701537e+04       1.163691921389e+00       1.558511093032e-06       9.972804707562e-01       1.554272676537e-06       1.164681516897e+00       1.158960554146e+00       1.811719182456e-13       2.926514233648e-13       5.923871265735e-06 
       5.347344777796e-01       8.700870087009e-01       1.100044146862e+04       1.163691792665e+00       1.583819225945e-06       9.972175048704e-01       1.579412256663e-06       1.182116533241e+00       1.165473407217e+00       1.838840099487e-13       2.968965409693e-13       6.097127564122e-06 
       5.304790705077e-01       8.850885088509e-01       1.096061900548e+04       1.163691655981e+00       1.609331178451e-06       9.971541027987e-01       1.604751187354e-06       1.199648848260e+00       1.171932779177e+00       1.866112359634e-13       3.011616968714e-13       6.273000142507e-06 
       5.262908574135e-01       9.000900090009e-01       1.092115557626e+04       1.163691510845e+00       1.635046949263e-06       9.970902684536e-01       1.630289401575e-06       1.217277660537e+00       1.178338669766e+00       1.893534715521e-13       3.054466414643e-13       6.451497804067e-06 
       5.221682594391e-01       9.150915091509e-01       1.088204715260e+04       1.163691356734e+00       1.660966536997e-06       9.970260056911e-01       1.656026831969e-06       1.235002168558e+00       1.184691078665e+00       1.921105919570e-13       3.097511251108e-13       6.632629256230e-06 
       5.181097466190e-01       9.300930093009e-01       1.084328972933e+04       1.163691193095e+00       1.687089940170e-06       9.969613183106e-01       1.681963410861e-06       1.252821633714e+00       1.190990072409e+00       1.948824821993e-13       3.140749146394e-13       6.816403114294e-06 
       5.141138361870e-01       9.450945094509e-01       1.080487932594e+04       1.163691019337e+00       1.713417157186e-06       9.968962100554e-01       1.708099070242e-06       1.270735219565e+00       1.197235612313e+00       1.976690120766e-13       3.184177512464e-13       7.002827906459e-06 
       5.101790907699e-01       9.600960096010e-01       1.076681198824e+04       1.163690834835e+00       1.739948186331e-06       9.968306846130e-01       1.734433741771e-06       1.288742070609e+00       1.203427640705e+00       2.004700484144e-13       3.227793711021e-13       7.191912077174e-06 
       5.063041166641e-01       9.750975097510e-01       1.072908378968e+04       1.163690638924e+00       1.766683025764e-06       9.967647456155e-01       1.760967356759e-06       1.306841388045e+00       1.209566160366e+00       2.032854668514e-13       3.271595251979e-13       7.383663991186e-06 
       5.024875621891e-01       9.900990099010e-01       1.069169083264e+04       1.163690430900e+00       1.793621673510e-06       9.966983966399e-01       1.787699846166e-06       1.325032372814e+00       1.215651173528e+00       2.061151429788e-13       3.315579644255e-13       7.578091937348e-06 
       4.987281161155e-01       1.005100510051e+00       1.065462924966e+04       1.163690210013e+00       1.820764127446e-06       9.966316412087e-01       1.814631140591e-06       1.343314225606e+00       1.221682681846e+00       2.089589523405e-13       3.359744395715e-13       7.775204131665e-06 
       4.950245061637e-01       1.020102010201e+00       1.061789520441e+04       1.163689975467e+00       1.848110385293e-06       9.965644827903e-01       1.841761170259e-06       1.361686146851e+00       1.227660686381e+00       2.118167704318e-13       3.404087013121e-13       7.975008721185e-06 
       4.913754975674e-01       1.035103510351e+00       1.058148489286e+04       1.163689726420e+00       1.875660444603e-06       9.964969247996e-01       1.869089865015e-06       1.380147336729e+00       1.233585187578e+00       2.146884726994e-13       3.448605002080e-13       8.177513786368e-06 
       4.877798917020e-01       1.050105010501e+00       1.054539454395e+04       1.163689461973e+00       1.903414302748e-06       9.964289705987e-01       1.896617154310e-06       1.398696995161e+00       1.239456185249e+00       2.175739345402e-13       3.493295866990e-13       8.382727345035e-06 
       4.842365247712e-01       1.065106510651e+00       1.050962042070e+04       1.163689181174e+00       1.931371956909e-06       9.963606234973e-01       1.924342967191e-06       1.417334321817e+00       1.245273678559e+00       2.204730313012e-13       3.538157110987e-13       8.590657353830e-06 
       4.807442665513e-01       1.080108010801e+00       1.047415882051e+04       1.163688883014e+00       1.959533404056e-06       9.962918867532e-01       1.952267232283e-06       1.436058516108e+00       1.251037666010e+00       2.233856382782e-13       3.583186235894e-13       8.801311713176e-06 
       4.773020191895e-01       1.095109510951e+00       1.043900607628e+04       1.163688566417e+00       1.987898640938e-06       9.962227635735e-01       1.980389877779e-06       1.454868777193e+00       1.256748145429e+00       2.263116307154e-13       3.628380742171e-13       9.014698267328e-06 
       4.739087160529e-01       1.110111011101e+00       1.040415855655e+04       1.163688230246e+00       2.016467664067e-06       9.961532571142e-01       2.008710831425e-06       1.473764303974e+00       1.262405113957e+00       2.292508838044e-13       3.673738128859e-13       9.230824809239e-06 
