# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30493 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.052977497448e-02       1.255533153144e+04 
       5.098784504892e-02       1.246747185590e+04 
       5.146755637439e-02       1.237850906442e+04 
       5.197124643850e-02       1.228829137898e+04 
       5.250161594480e-02       1.219602852668e+04 
       5.306180122343e-02       1.210208508091e+04 
       5.365546357499e-02       1.200583635107e+04 
       5.428689971174e-02       1.190684381830e+04 
       5.496117826718e-02       1.180507791934e+04 
       5.568430800744e-02       1.169975126944e+04 
       5.646344348443e-02       1.159044448137e+04 
       5.730713255939e-02       1.147625153843e+04 
       5.822560577783e-02       1.135617104272e+04 
       5.923109675008e-02       1.122877470698e+04 
       6.033815976073e-02       1.109124101864e+04 
       6.156390672301e-02       1.094282517847e+04 
       6.292800886075e-02       1.077867937941e+04 
       6.445219319491e-02       1.059448119861e+04 
       6.615883503410e-02       1.038499970691e+04 
       6.806821412789e-02       1.014353189713e+04 
       7.019430684321e-02       9.861746506100e+03 
       7.253989678114e-02       9.534271181635e+03 
       7.509308933323e-02       9.157733874213e+03 
       7.782776119583e-02       8.734874365662e+03 
       8.070866963063e-02       8.275402644170e+03 
       8.369884862244e-02       7.795277297450e+03 
       8.676568449761e-02       7.312712290994e+03 
       8.988376852748e-02       6.846615840297e+03 
       9.303496220912e-02       6.412827651759e+03 
       9.620706124747e-02       6.022853923389e+03 
       9.939216608078e-02       5.683430286237e+03 
       1.025852881515e-01       5.396361458652e+03 
       1.057833254113e-01       5.159298923557e+03 
       1.089843671325e-01       4.966678406271e+03 
       1.121872431424e-01       4.810142638776e+03 
       1.153912392343e-01       4.680690891418e+03 
       1.185959203247e-01       4.568214636818e+03 
       1.218010216055e-01       4.463087911444e+03 
       1.250063819301e-01       4.357169085225e+03 
       1.282119031868e-01       4.243777082416e+03 
       1.314175255724e-01       4.118493034701e+03 
       1.346232125620e-01       3.980346612472e+03 
       1.378289417780e-01       3.830035652738e+03 
       1.410346994454e-01       3.670220957898e+03 
       1.442404770255e-01       3.505327940788e+03 
       1.474462691711e-01       3.340222539361e+03 
       1.506520724850e-01       3.180145667780e+03 
       1.538578847649e-01       3.029433950671e+03 
       1.570637045449e-01       2.891526403944e+03 
       1.602695308154e-01       2.768774158412e+03 
       1.634753628530e-01       2.661955665707e+03 
       1.666812001162e-01       2.570997874056e+03 
       1.698870421813e-01       2.494395355246e+03 
       1.730928887029e-01       2.430214673579e+03 
       1.762987393894e-01       2.375506651988e+03 
       1.795045939875e-01       2.327425021288e+03 
       1.827104522724e-01       2.283139091392e+03 
       1.859163140413e-01       2.240045862540e+03 
       1.891221791091e-01       2.195519694709e+03 
       1.923280473058e-01       2.147521699701e+03 
       1.955339184738e-01       2.095182219711e+03 
       1.987397924668e-01       2.038328594846e+03 
       2.019456691482e-01       1.977472018374e+03 
       2.051515483907e-01       1.913899073389e+03 
       2.083574300746e-01       1.849129112693e+03 
       2.115633140881e-01       1.784746337545e+03 
       2.147692003259e-01       1.722342760897e+03 
       2.179750886890e-01       1.663157927369e+03 
       2.211809790844e-01       1.608057424273e+03 
       2.243868714243e-01       1.557873056522e+03 
       2.275927656259e-01       1.512676031324e+03 
       2.307986616111e-01       1.472637022464e+03 
       2.340045593061e-01       1.437279714206e+03 
       2.372104586412e-01       1.406071871071e+03 
       2.404163595502e-01       1.378156767010e+03 
       2.436222619706e-01       1.352611773194e+03 
       2.468281658432e-01       1.328365028184e+03 
       2.500340711117e-01       1.304691385971e+03 
       2.532399777228e-01       1.280653555892e+03 
       2.564458856258e-01       1.255826949739e+03 
       2.596517947726e-01       1.229991974895e+03 
       2.628577051174e-01       1.202984013458e+03 
       2.660636166166e-01       1.174921401505e+03 
       2.692695292288e-01       1.146063278219e+03 
       2.724754429144e-01       1.116788604833e+03 
       2.756813576358e-01       1.087603048004e+03 
       2.788872733570e-01       1.058998379828e+03 
       2.820931900438e-01       1.031416618191e+03 
       2.852991076634e-01       1.005264029012e+03 
       2.885050261845e-01       9.808112012250e+02 
       2.917109455774e-01       9.581601286339e+02 
       2.949168658134e-01       9.373449222618e+02 
       2.981227868651e-01       9.181934539617e+02 
       3.013287087063e-01       9.005415941065e+02 
       3.045346313121e-01       8.840910925927e+02 
       3.077405546584e-01       8.686037736412e+02 
       3.109464787222e-01       8.537617543467e+02 
       3.141524034813e-01       8.392740336539e+02 
       3.173583289147e-01       8.250028053400e+02 
       3.205642550020e-01       8.106420068335e+02 
       3.237701817236e-01       7.960572616779e+02 
       3.269761090608e-01       7.812918135639e+02 
       3.301820369957e-01       7.662634590996e+02 
       3.333879655108e-01       7.510957252536e+02 
       3.365938945895e-01       7.359071050866e+02 
       3.397998242159e-01       7.208389922900e+02 
       3.430057543743e-01       7.060036848177e+02 
       3.462116850501e-01       6.915837115682e+02 
       3.494176162290e-01       6.776630989564e+02 
       3.526235478970e-01       6.643198146147e+02 
       3.558294800410e-01       6.515885868043e+02 
       3.590354126481e-01       6.395442153077e+02 
       3.622413457060e-01       6.281298479946e+02 
       3.654472792028e-01       6.173231012571e+02 
       3.686532131269e-01       6.070644256090e+02 
       3.718591474673e-01       5.972265346494e+02 
       3.750650822133e-01       5.877257629844e+02 
       3.782710173545e-01       5.784185332285e+02 
       3.814769528808e-01       5.692897390669e+02 
       3.846828887827e-01       5.602823239058e+02 
       3.878888250508e-01       5.513018353500e+02 
       3.910947616759e-01       5.423955324476e+02 
       3.943006986495e-01       5.334923659492e+02 
       3.975066359630e-01       5.246321807578e+02 
       4.007125736082e-01       5.158408589758e+02 
       4.039185115772e-01       5.071227687939e+02 
       4.071244498623e-01       4.985431043376e+02 
       4.103303884561e-01       4.901354775866e+02 
       4.135363273514e-01       4.819580194643e+02 
       4.167422665412e-01       4.740010746606e+02 
       4.199482060187e-01       4.662870093121e+02 
       4.231541457773e-01       4.588375687199e+02 
       4.263600858108e-01       4.516366331860e+02 
       4.295660261128e-01       4.446751565931e+02 
       4.327719666775e-01       4.379397282330e+02 
       4.359779074990e-01       4.314231602257e+02 
       4.391838485716e-01       4.250941094603e+02 
       4.423897898900e-01       4.189145922127e+02 
       4.455957314487e-01       4.128919439850e+02 
       4.488016732426e-01       4.069965462614e+02 
       4.520076152666e-01       4.011580797726e+02 
       4.552135575160e-01       3.953986643158e+02 
       4.584194999859e-01       3.897066358335e+02 
       4.616254426717e-01       3.840778353864e+02 
       4.648313855690e-01       3.785163402651e+02 
       4.680373286734e-01       3.730273717542e+02 
       4.712432719806e-01       3.676161390964e+02 
       4.744492154865e-01       3.622885073336e+02 
       4.776551591872e-01       3.570663896144e+02 
       4.808611030787e-01       3.519324255645e+02 
       4.840670471571e-01       3.469099315503e+02 
       4.872729914189e-01       3.420139084336e+02 
       4.904789358604e-01       3.372465508658e+02 
       4.936848804780e-01       3.326084347147e+02 
       4.968908252684e-01       3.280939825769e+02 
       5.000967702282e-01       3.236910258994e+02 
       5.033027153542e-01       3.193886815625e+02 
       5.065086606432e-01       3.151768913174e+02 
       5.097146060921e-01       3.110477355733e+02 
       5.129205516980e-01       3.069949288598e+02 
       5.161264974578e-01       3.030099395229e+02 
       5.193324433688e-01       2.990909787973e+02 
       5.225383894281e-01       2.952276466317e+02 
       5.257443356330e-01       2.914161373525e+02 
       5.289502819809e-01       2.876531047710e+02 
       5.321562284691e-01       2.839396218179e+02 
       5.353621750952e-01       2.802800771619e+02 
       5.385681218566e-01       2.766796161032e+02 
       5.417740687510e-01       2.731431388584e+02 
       5.449800157760e-01       2.696717250503e+02 
       5.481859629293e-01       2.662667284404e+02 
       5.513919102086e-01       2.629266377472e+02 
       5.545978576119e-01       2.596484696068e+02 
       5.578038051368e-01       2.564327249051e+02 
       5.610097527814e-01       2.532792715222e+02 
       5.642157005436e-01       2.501879604861e+02 
       5.912903349244e-01       2.261784358005e+02 
       6.218777892068e-01       2.025996665250e+02 
       6.572252511706e-01       1.795149788666e+02 
       6.993597453318e-01       1.564924629423e+02 
       7.518240214658e-01       1.332439348006e+02 
       8.213631665859e-01       1.092526545984e+02 
       9.219013841535e-01       8.407647327407e+01 
       1.081610628672e+00       5.823350715800e+01 
       1.334358816258e+00       3.564602761128e+01 
       1.677598750825e+00       2.067781536647e+01 
       2.111932620909e+00       1.185021945072e+01 
       2.658765514036e+00       6.735532672685e+00 
       3.347187469561e+00       3.800298315584e+00 
       4.213859363470e+00       2.129640198163e+00 
       5.304934634399e+00       1.186162173469e+00 
