#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]        
       1.330278325318e-01       2.869603778710e-07      -1.317074988398e+00       4.352993974356e-02       2.814189127920e-09       7.035472819800e-09       2.558493672218e-16       1.407094563960e-09      -9.878062412983e-01       4.352993974362e-02       6.716842873326e-01       6.716848515456e-01      -9.878082481586e-01       4.359527932802e-02      -5.898329119973e-03      -7.050438309076e-05       0.000000000000e+00       3.333333326330e-01 
       1.433781542045e-01       3.092934086713e-07      -1.322268154535e+00       4.705653958089e-02       3.534129139339e-09       8.835322848348e-09       3.732595600435e-16       1.767064569670e-09      -9.917011159016e-01       4.705653958098e-02       6.705422236287e-01       6.705428335517e-01      -9.917038821033e-01       4.713833854863e-02      -6.850984920336e-03      -8.698396197722e-05       0.000000000000e+00       3.333333325198e-01 
       1.537284758772e-01       3.316272886960e-07      -1.326447989979e+00       5.056073236499e-02       4.365507385570e-09       1.091376846393e-08       5.300568398165e-16       2.182753692785e-09      -9.948359924843e-01       5.056073236512e-02       6.696656204058e-01       6.696662757483e-01      -9.948397014450e-01       5.066154430033e-02      -7.874747731304e-03      -1.060206437783e-04       0.000000000000e+00       3.333333323980e-01 
       1.763839133086e-01       3.805160588857e-07      -1.333462930813e+00       5.817266579287e-02       6.612797939476e-09       1.653199484869e-08       1.057105732130e-15       3.306398969738e-09      -1.000097198110e+00       5.817266579314e-02       6.683223798499e-01       6.683231338544e-01      -1.000103746939e+00       5.832490084138e-02      -1.036352323574e-02      -1.575096574484e-04       0.000000000000e+00       3.333333321019e-01 
       1.990393507400e-01       4.294088978143e-07      -1.338906157323e+00       6.572514003741e-02       9.514661862091e-09       2.378665465523e-08       1.936968831412e-15       4.757330931046e-09      -1.004179617992e+00       6.572514003791e-02       6.674293036690e-01       6.674301555649e-01      -1.004190338399e+00       6.594383449747e-02      -1.319211401564e-02      -2.240573481324e-04       0.000000000000e+00       3.333333317651e-01 
       2.216947881713e-01       4.783058054830e-07      -1.343642799838e+00       7.323174826702e-02       1.315315442908e-08       3.288288607269e-08       3.322220232023e-15       6.576577214538e-09      -1.007732099879e+00       7.323174826788e-02       6.667697423915e-01       6.667706915842e-01      -1.007748685968e+00       7.353385708914e-02      -1.635983789254e-02      -3.075864504113e-04       0.000000000000e+00       3.333333313877e-01 
       2.443502256027e-01       5.272067818930e-07      -1.348102413688e+00       8.069910047511e-02       1.760959367767e-08       4.402398419417e-08       5.403790544124e-15       8.804796838834e-09      -1.011076810266e+00       8.069910047653e-02       6.662359942613e-01       6.662370402420e-01      -1.011101361962e+00       8.110349300867e-02      -1.986593248554e-02      -4.100156915473e-04       0.000000000000e+00       3.333333309695e-01 
       2.670056630341e-01       5.761118270456e-07      -1.352514435063e+00       8.813020769665e-02       2.296447349983e-08       5.741118374957e-08       8.415061031062e-15       1.148223674991e-08      -1.014385826298e+00       8.813020769888e-02       6.657704057646e-01       6.657715480636e-01      -1.014420892661e+00       8.865766290193e-02      -2.370955841411e-02      -5.332592549599e-04       0.000000000000e+00       3.333333305106e-01 
       2.896611004655e-01       6.250209409419e-07      -1.357008470000e+00       9.552607942465e-02       2.929737170215e-08       7.324342925537e-08       1.263586545664e-14       1.464868585107e-08      -1.017756352500e+00       9.552607942801e-02       6.653402971216e-01       6.653415352821e-01      -1.017804974928e+00       9.619928062987e-02      -2.788980392896e-02      -6.792263234528e-04       0.000000000000e+00       3.333333300110e-01 
       3.396636136985e-01       7.329819926362e-07      -1.367556093817e+00       1.117230333750e-01       4.712438514795e-08       1.178109628699e-07       2.795242576175e-14       2.356219257397e-08      -1.025667070363e+00       1.117230333824e-01       6.644305669960e-01       6.644320150931e-01      -1.025759097497e+00       1.128076020733e-01      -3.830230538237e-02      -1.091249367821e-03       0.000000000000e+00       3.333333287641e-01 
       3.896661269315e-01       8.409628641421e-07      -1.379262523096e+00       1.277355196934e-01       7.092192047233e-08       1.773048011808e-07       5.537596647990e-14       3.546096023617e-08      -1.034446892323e+00       1.277355197083e-01       6.634996980290e-01       6.635013536719e-01      -1.034606309966e+00       1.293714951904e-01      -5.033771873560e-02      -1.643590860000e-03       0.000000000000e+00       3.333333273187e-01 
       4.396686401645e-01       9.489635554725e-07      -1.392291685833e+00       1.435455931609e-01       1.014852476206e-07       2.537131190515e-07       1.008995382211e-13       5.074262381031e-08      -1.044218764376e+00       1.435455931878e-01       6.625036138035e-01       6.625054743685e-01      -1.044477065168e+00       1.458931551901e-01      -6.398229714283e-02      -2.356455208835e-03       0.000000000000e+00       3.333333256746e-01 
       4.896711533974e-01       1.056984066641e-06      -1.406709669727e+00       1.591326303618e-01       1.395754154718e-07       3.489385386795e-07       1.721602980181e-13       6.978770773589e-08      -1.055032252299e+00       1.591326304107e-01       6.614221811200e-01       6.614242437163e-01      -1.055429438091e+00       1.623719100401e-01      -7.922044736229e-02      -3.249863183659e-03       0.000000000000e+00       3.333333238318e-01 
       5.396736666304e-01       1.165024397660e-06      -1.422539607704e+00       1.744747498327e-01       1.859149294418e-07       4.647873236044e-07       2.785938352075e-13       9.295746472088e-08      -1.066904705785e+00       1.744747498976e-01       6.602455608324e-01       6.602478222854e-01      -1.067490279868e+00       1.788056175196e-01      -9.603478661762e-02      -4.343628668829e-03       0.000000000000e+00       3.333333217901e-01 
       5.896761798634e-01       1.273084548543e-06      -1.439783006979e+00       1.895493917993e-01       2.411833807902e-07       6.029584519755e-07       4.315678340631e-13       1.205916903951e-07      -1.079837255246e+00       1.895493919769e-01       6.589690228769e-01       6.589714797198e-01      -1.080671203561e+00       1.951912236773e-01      -1.144062280403e-01      -5.657337227803e-03       0.000000000000e+00       3.333333195495e-01 
       6.750244998360e-01       1.457576111229e-06      -1.472449209268e+00       2.145969302472e-01       3.579270712179e-07       8.948176780447e-07       8.395454759910e-13       1.789635356089e-07      -1.104336906981e+00       2.145969305529e-01       6.565533650855e-01       6.565561465818e-01      -1.105766549053e+00       2.230380334160e-01      -1.493010068736e-01      -8.462846521257e-03       0.000000000000e+00       3.333333152650e-01 
       7.603728198086e-01       1.642125418032e-06      -1.509119452302e+00       2.386865188443e-01       5.052975764332e-07       1.263243941083e-06       1.504343650755e-12       2.526487882166e-07      -1.131839589287e+00       2.386865192892e-01       6.538355568934e-01       6.538386506267e-01      -1.134136845968e+00       2.507158283080e-01      -1.885559126695e-01      -1.205964379155e-02       0.000000000000e+00       3.333333103999e-01 
       8.457211397812e-01       1.826732469015e-06      -1.549684470487e+00       2.617087723918e-01       6.856035125689e-07       1.714008781422e-06       2.525864944005e-12       3.428017562845e-07      -1.162263352973e+00       2.617087730702e-01       6.508145311160e-01       6.508179232520e-01      -1.165771390955e+00       2.782064081920e-01      -2.320413708447e-01      -1.653940382629e-02       0.000000000000e+00       3.333333049537e-01 
       9.310694597538e-01       2.011397264245e-06      -1.594012880818e+00       2.835570906980e-01       9.006153144049e-07       2.251538286012e-06       4.022742492418e-12       4.503076572025e-07      -1.195509660796e+00       2.835570917816e-01       6.474913611853e-01       6.474950365082e-01      -1.200650551609e+00       3.054914084035e-01      -2.796137096981e-01      -2.199088589131e-02       0.000000000000e+00       3.333332989259e-01 
       1.016417779726e+00       2.196119803786e-06      -1.641953836089e+00       3.041275929806e-01       1.151514241341e-06       2.878785603351e-06       6.131525873262e-12       5.757571206703e-07      -1.231465377366e+00       3.041275946830e-01       6.438687320043e-01       6.438726739515e-01      -1.238747491482e+00       3.325519432702e-01      -3.311158231744e-01      -2.849963927049e-02       0.000000000000e+00       3.333332923159e-01 
       1.101766099699e+00       2.380900087705e-06      -1.693341254402e+00       3.233197835227e-01       1.438846515173e-06       3.597116287934e-06       9.005005999962e-12       7.194232575867e-07      -1.270005941280e+00       3.233197860871e-01       6.399502752420e-01       6.399544659487e-01      -1.280031053681e+00       3.593689935928e-01      -3.863776283644e-01      -3.614772127483e-02       0.000000000000e+00       3.333332851232e-01 
       1.187114419672e+00       2.565738116066e-06      -1.747996823083e+00       3.410373792768e-01       1.762483252112e-06       4.406208130279e-06       1.280963768466e-11       8.812416260558e-07      -1.310997618057e+00       3.410373829935e-01       6.357400169389e-01       6.357444372920e-01      -1.324467702317e+00       3.859239654763e-01      -4.452163435519e-01      -4.501342439255e-02       0.000000000000e+00       3.333332773471e-01 
       1.291288535870e+00       2.791425243475e-06      -1.818859534864e+00       3.605315542297e-01       2.205423478979e-06       5.513558697448e-06       1.897278966846e-11       1.102711739490e-06      -1.364144652375e+00       3.605315598497e-01       6.302119234881e-01       6.302165965148e-01      -1.382926555518e+00       4.179548147660e-01      -5.215961592004e-01      -5.759249728905e-02       0.000000000000e+00       3.333332670647e-01 
