# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  105       3.842472931158e-10       1.140800233518e-13      -3.555694962764e-12       4.534887903377e-16       8.945558060135e-12       1.264383511228e-12      -6.872745127439e-15 
  106       3.885821413291e-10       1.159445887398e-13      -3.644175645056e-12       4.623148682261e-16       8.724239298636e-12       1.239586221508e-12      -6.812600233587e-15 
  107       3.929408203619e-10       1.177786405823e-13      -3.732339751173e-12       4.712363210184e-16       8.510168037491e-12       1.215519129915e-12      -6.753094493356e-15 
  108       3.973223517277e-10       1.195802514994e-13      -3.820114386970e-12       4.802539021633e-16       8.302830167886e-12       1.192134445270e-12      -6.693660743807e-15 
  109       4.017255914487e-10       1.213474860930e-13      -3.907425861877e-12       4.893683924128e-16       8.101625229770e-12       1.169375438481e-12      -6.633676692930e-15 
  110       4.061494221353e-10       1.230784494897e-13      -3.994200216315e-12       4.985805816394e-16       7.906001783466e-12       1.147189554197e-12      -6.572591390435e-15 
  111       4.105933687517e-10       1.247714384128e-13      -4.080364831022e-12       5.078912106448e-16       7.715888507549e-12       1.125570212662e-12      -6.510326086580e-15 
  112       4.150570519145e-10       1.264248109456e-13      -4.165847067960e-12       5.173010227391e-16       7.531313912155e-12       1.104519894205e-12      -6.446922252158e-15 
  113       4.195399940358e-10       1.280369416791e-13      -4.250573812215e-12       5.268107820005e-16       7.352272332796e-12       1.084037116900e-12      -6.382418108544e-15 
  114       4.240416158639e-10       1.296062229366e-13      -4.334471500107e-12       5.364212735568e-16       7.178722818133e-12       1.064116307082e-12      -6.316848462673e-15 
  115       4.285612330229e-10       1.311310659967e-13      -4.417466147280e-12       5.461333038668e-16       7.010588017734e-12       1.044747669865e-12      -6.250244542027e-15 
  116       4.330980525527e-10       1.326099023167e-13      -4.499483376806e-12       5.559477010017e-16       6.847753069844e-12       1.025917059659e-12      -6.182633829617e-15 
  117       4.376511694495e-10       1.340411847570e-13      -4.580448447279e-12       5.658653149265e-16       6.690064489149e-12       1.007605850681e-12      -6.114039898965e-15 
  118       4.422195632054e-10       1.354233888038e-13      -4.660286280922e-12       5.758870177814e-16       6.537329054540e-12       9.897908074745e-13      -6.044482249089e-15 
  119       4.468020943487e-10       1.367550137932e-13      -4.738921491676e-12       5.860137041629e-16       6.389312696878e-12       9.724439554271e-13      -5.973976139484e-15 
  120       4.513975009841e-10       1.380345841345e-13      -4.816278413307e-12       5.962462914059e-16       6.245739386760e-12       9.555324512831e-13      -5.902532425105e-15 
  121       4.560043953324e-10       1.392606505340e-13      -4.892281127500e-12       6.065857198640e-16       6.106290022284e-12       9.390184536610e-13      -5.830157391352e-15 
  122       4.606212602707e-10       1.404317912185e-13      -4.966853491959e-12       6.170329531921e-16       5.970601316813e-12       9.228589935695e-13      -5.756852589051e-15 
